id_pesanan,id_produk,tanggal_pesanan,kurir_pengiriman,kota,kecamatan,jenis_pengiriman,estimasi_waktu_sampai_hari,rating_produk,tanggal_pengiriman,ontime
622230,201,2022-06-28,Ninja Xpress,Yogyakarta,Tegalrejo,Express,3,1,2022-07-01,Ontime
208,262,2022-11-06,SiCepat,Denpasar,Denpasar Tengah,Express,4,1,2022-11-10,Ontime
110149,127,2023-05-26,POS Indonesia,Semarang,Gajahmungkur,Next Day,4,3,2023-05-30,Ontime
771014,264,2022-10-26,J&T Express,Yogyakarta,Gondokusuman,Reguler,4,4,2022-10-30,Ontime
589409,168,2022-11-07,Ninja Xpress,Padang,Kuranji,Express,1,2,2022-11-08,Ontime
735478,150,2022-10-12,JNE,Bandung,Bojongloa Kaler,Next Day,5,1,2022-10-17,Ontime
237620,131,2023-02-13,Ninja Xpress,Bandar Lampung,Rajabasa,Express,3,3,2023-02-16,Ontime
833383,189,2023-04-30,SiCepat,Medan,Medan Amplas,Same Day,3,2,2023-05-03,Ontime
206888,189,2023-01-15,J&T Express,Makassar,Batu,Next Day,1,4,2023-01-16,Ontime
327976,202,2022-06-22,POS Indonesia,Semarang,Semarang Barat,Same Day,1,1,2022-06-23,Ontime
627751,171,2023-05-02,SiCepat,Makassar,Wajo,Reguler,1,4,2023-05-03,Ontime
821936,241,2023-04-14,JNE,Yogyakarta,Pakualaman,Next Day,2,1,2023-04-16,Ontime
268416,157,2022-10-07,POS Indonesia,Semarang,Semarang Tengah,Same Day,1,5,2022-10-08,Ontime
15608,269,2023-03-20,SiCepat,Surakarta,Serengan,Same Day,2,3,2023-03-22,Ontime
945521,281,2022-08-17,SiCepat,Pekanbaru,Payung Sekaki,Same Day,4,5,2022-08-21,Ontime
516759,242,2022-09-19,Ninja Xpress,Batam,Sei Beduk,Express,5,1,2022-09-24,Ontime
523570,122,2022-11-10,POS Indonesia,Yogyakarta,Keparakan,Reguler,5,4,2022-11-15,Ontime
227638,227,2022-11-12,Ninja Xpress,Surabaya,Tandes,Express,1,4,2022-11-13,Ontime
278418,188,2023-01-01,POS Indonesia,Pekanbaru,Rumbai,Reguler,2,4,2023-01-03,Ontime
83622,288,2023-02-04,JNE,Pontianak,Pontianak Tenggara,Same Day,5,5,2023-02-09,Ontime
125145,192,2023-01-16,Ninja Xpress,Makassar,Ujung Pandang,Next Day,1,1,2023-01-17,Ontime
759791,134,2023-03-29,POS Indonesia,Medan,Medan Perjuangan,Express,2,2,2023-03-31,Ontime
878317,259,2022-07-20,SiCepat,Medan,Medan Amplas,Same Day,3,3,2022-07-23,Ontime
116777,149,2023-01-29,SiCepat,Pekanbaru,Tampan,Next Day,1,1,2023-01-30,Ontime
967559,191,2022-10-19,JNE,Padang,Padang Utara,Next Day,1,1,2022-10-20,Ontime
381397,291,2022-06-10,JNE,Medan,Medan Sunggal,Same Day,2,1,2022-06-12,Ontime
727928,262,2022-09-30,POS Indonesia,Yogyakarta,Ngampilan,Express,1,4,2022-10-01,Ontime
773432,164,2022-07-13,JNE,Pekanbaru,Sail,Express,5,3,2022-07-18,Ontime
196388,282,2023-05-26,POS Indonesia,Palembang,Bukit Besar,Express,4,1,2023-05-30,Ontime
506951,118,2022-12-03,POS Indonesia,Padang,Pauh,Reguler,3,3,2022-12-06,Ontime
996147,195,2022-08-23,JNE,Bandar Lampung,Teluk Betung Barat,Express,1,5,2022-08-24,Ontime
539750,237,2023-03-13,J&T Express,Pekanbaru,Sukajadi,Reguler,5,1,2023-03-18,Ontime
898834,173,2022-06-27,JNE,Medan,Medan Labuhan,Next Day,3,2,2022-06-30,Ontime
717177,279,2022-07-13,SiCepat,Semarang,Prajurit Kulon,Reguler,1,3,2022-07-14,Ontime
228261,216,2022-08-12,JNE,Padang,Padang Selatan,Express,2,2,2022-08-14,Ontime
361316,286,2022-07-01,JNE,Tangerang,Ciputat,Reguler,1,3,2022-07-02,Ontime
364411,252,2022-10-22,J&T Express,Surabaya,Tambaksari,Express,5,2,2022-10-27,Ontime
64370,159,2022-12-31,POS Indonesia,Pontianak,Pontianak Tenggara,Reguler,2,5,2023-01-02,Ontime
566159,147,2022-08-30,Ninja Xpress,Padang,Bungus Teluk Kabung,Same Day,4,2,2022-09-03,Ontime
708377,297,2023-01-20,J&T Express,Surabaya,Gubeng,Express,3,3,2023-01-23,Ontime
647926,235,2022-09-08,POS Indonesia,Bandar Lampung,Panjang,Express,3,1,2022-09-11,Ontime
260559,142,2023-01-25,SiCepat,Jakarta,Mampang Prapatan,Express,5,4,2023-01-30,Ontime
759039,287,2023-01-10,Ninja Xpress,Denpasar,Benoa,Same Day,4,1,2023-01-14,Ontime
117860,171,2022-10-28,POS Indonesia,Bogor,Nanggung,Express,1,1,2022-10-29,Ontime
528981,169,2023-02-04,SiCepat,Yogyakarta,Danurejan,Next Day,1,5,2023-02-05,Ontime
883884,278,2022-10-22,JNE,Palembang,Bukit Besar,Next Day,4,5,2022-10-26,Ontime
444259,135,2022-12-09,SiCepat,Depok,Tapos,Express,2,4,2022-12-11,Ontime
565616,152,2023-04-02,SiCepat,Bekasi,Pondok Gede,Same Day,1,5,2023-04-03,Ontime
677005,222,2022-11-06,JNE,Surabaya,Benowo,Reguler,1,3,2022-11-07,Ontime
466298,204,2023-01-22,JNE,Yogyakarta,Gondomanan,Reguler,3,1,2023-01-25,Ontime
576876,122,2023-02-22,POS Indonesia,Pekanbaru,Tenayan Raya,Reguler,2,1,2023-02-24,Ontime
382053,177,2023-05-15,J&T Express,Bogor,Bogor Selatan,Express,5,3,2023-05-20,Ontime
226800,145,2022-11-20,Ninja Xpress,Denpasar,Denpasar Timur,Reguler,4,4,2022-11-24,Ontime
502546,170,2022-09-16,J&T Express,Surabaya,Bulak,Same Day,2,3,2022-09-18,Ontime
71978,114,2022-09-01,POS Indonesia,Bogor,Nanggung,Reguler,2,1,2022-09-03,Ontime
832634,297,2022-07-23,POS Indonesia,Pekanbaru,Senapelan,Next Day,1,1,2022-07-24,Ontime
702698,185,2022-09-22,J&T Express,Semarang,Gayamsari,Same Day,1,4,2022-09-23,Ontime
570731,262,2023-03-27,POS Indonesia,Tangerang,Serpong,Next Day,2,4,2023-03-29,Ontime
966039,135,2023-02-05,Ninja Xpress,Makassar,Ujung Tanah,Same Day,5,5,2023-02-10,Ontime
899140,130,2022-08-19,POS Indonesia,Batam,Sekupang,Same Day,4,5,2022-08-23,Ontime
490662,208,2023-04-30,POS Indonesia,Pekanbaru,Tampan,Same Day,3,4,2023-05-03,Ontime
483148,200,2023-01-20,Ninja Xpress,Bandung,Cibeunying Kaler,Same Day,2,4,2023-01-22,Ontime
28600,238,2023-05-04,Ninja Xpress,Tangerang,Serpong Selatan,Express,2,4,2023-05-06,Ontime
885838,116,2022-12-03,POS Indonesia,Malang,Pakisaji,Same Day,5,5,2022-12-08,Ontime
595864,126,2022-10-04,Ninja Xpress,Depok,Tapos,Express,4,1,2022-10-08,Ontime
791523,175,2022-06-22,POS Indonesia,Padang,Pauh,Express,2,4,2022-06-24,Ontime
368717,298,2022-08-14,J&T Express,Jakarta,Pasar Rebo,Same Day,2,5,2022-08-16,Ontime
430266,222,2023-01-13,SiCepat,Surakarta,Banyudono,Same Day,2,5,2023-01-15,Ontime
862133,147,2022-09-06,SiCepat,Pontianak,Pontianak Kota,Next Day,3,3,2022-09-09,Ontime
71896,183,2023-02-06,SiCepat,Bandung,Rancasari,Same Day,4,5,2023-02-10,Ontime
344437,293,2022-11-12,J&T Express,Jakarta,Ciracas,Express,4,4,2022-11-16,Ontime
99292,161,2022-08-03,POS Indonesia,Denpasar,Nusa Dua,Reguler,3,4,2022-08-06,Ontime
864127,170,2022-06-21,SiCepat,Padang,Pauh,Next Day,5,2,2022-06-26,Ontime
117491,226,2023-01-04,SiCepat,Bekasi,Pondok Melati,Next Day,4,5,2023-01-08,Ontime
237834,196,2022-09-24,SiCepat,Makassar,Bonto,Express,5,2,2022-09-29,Ontime
761718,148,2022-10-25,J&T Express,Bekasi,Jatiasih,Next Day,2,4,2022-10-27,Ontime
917663,290,2022-12-12,POS Indonesia,Bogor,Bogor Timur,Same Day,1,1,2022-12-13,Ontime
780343,131,2022-06-16,POS Indonesia,Denpasar,Denpasar Timur,Express,5,1,2022-06-21,Ontime
363479,222,2023-01-06,POS Indonesia,Bandung,Bojongloa Kaler,Reguler,2,1,2023-01-08,Ontime
968073,247,2023-05-07,JNE,Medan,Medan Selayang,Same Day,1,1,2023-05-08,Ontime
987841,257,2023-05-25,JNE,Palembang,Ilir Barat I,Same Day,5,5,2023-05-30,Ontime
470491,129,2022-12-25,SiCepat,Palembang,Plaju,Reguler,5,4,2022-12-30,Ontime
595313,121,2023-04-30,SiCepat,Medan,Medan Amplas,Express,4,1,2023-05-04,Ontime
377332,145,2022-10-27,J&T Express,Malang,Lawang,Same Day,4,5,2022-10-31,Ontime
435320,119,2022-12-18,SiCepat,Tangerang,Karawaci,Express,3,3,2022-12-21,Ontime
193345,168,2023-01-05,JNE,Medan,Medan Kota,Express,5,4,2023-01-10,Ontime
620846,268,2023-04-18,SiCepat,Bandung,Lengkong,Express,2,1,2023-04-20,Ontime
7778,152,2023-02-11,POS Indonesia,Palembang,Ilir Barat I,Same Day,4,5,2023-02-15,Ontime
759504,225,2023-04-08,Ninja Xpress,Surakarta,Kartasura,Same Day,4,3,2023-04-12,Ontime
499919,232,2023-04-01,J&T Express,Tangerang,Karawaci,Same Day,1,4,2023-04-02,Ontime
956911,222,2022-06-08,J&T Express,Denpasar,Sanur,Next Day,5,2,2022-06-13,Ontime
254054,164,2022-11-25,SiCepat,Pekanbaru,Pekanbaru Kota,Reguler,3,4,2022-11-28,Ontime
673990,222,2023-03-13,POS Indonesia,Palembang,Alang-Alang Lebar,Same Day,5,1,2023-03-18,Ontime
428766,131,2022-06-05,JNE,Bandung,Cibiru,Reguler,3,5,2022-06-08,Ontime
808127,161,2022-06-10,J&T Express,Pontianak,Pontianak Barat,Next Day,3,4,2022-06-13,Ontime
578425,254,2022-07-08,J&T Express,Medan,Medan Tembung,Express,2,3,2022-07-10,Ontime
919940,172,2022-07-27,J&T Express,Tangerang,Karang Tengah,Same Day,4,4,2022-07-31,Ontime
217234,176,2022-11-02,J&T Express,Bandung,Coblong,Next Day,5,1,2022-11-07,Ontime
674645,131,2023-04-09,JNE,Padang,Padang Utara,Same Day,4,5,2023-04-13,Ontime
939841,167,2022-07-19,J&T Express,Padang,Lubuk Begalung,Express,2,5,2022-07-21,Ontime
237928,159,2022-09-08,SiCepat,Malang,Bululawang,Express,3,2,2022-09-11,Ontime
912876,186,2023-04-21,POS Indonesia,Makassar,Bonto,Same Day,1,4,2023-04-22,Ontime
385419,196,2022-07-16,JNE,Bogor,Bogor Timur,Reguler,5,5,2022-07-21,Ontime
867304,185,2023-03-13,JNE,Surabaya,Pabean Cantian,Express,1,2,2023-03-14,Ontime
420477,119,2022-08-10,J&T Express,Medan,Medan Timur,Express,3,3,2022-08-13,Ontime
236370,299,2022-11-30,J&T Express,Bekasi,Bekasi Timur,Reguler,4,3,2022-12-04,Ontime
416919,198,2023-01-23,SiCepat,Padang,Padang Barat,Express,1,5,2023-01-24,Ontime
890966,246,2023-02-04,J&T Express,Batam,Nongsa,Same Day,4,3,2023-02-08,Ontime
454517,298,2022-10-14,JNE,Bogor,Bogor Barat,Express,4,4,2022-10-18,Ontime
572555,237,2023-03-25,SiCepat,Surabaya,Sukolilo,Next Day,5,2,2023-03-30,Ontime
393074,297,2022-11-30,JNE,Makassar,Makassar Timur,Same Day,4,5,2022-12-04,Ontime
147484,189,2022-07-19,J&T Express,Bandar Lampung,Enggal,Reguler,1,2,2022-07-20,Ontime
533218,241,2022-09-29,Ninja Xpress,Makassar,Ujung Tanah,Same Day,5,3,2022-10-04,Ontime
392403,294,2022-11-13,SiCepat,Depok,Limo,Same Day,5,5,2022-11-18,Ontime
753378,153,2023-02-11,JNE,Surakarta,Jatipuro,Same Day,2,5,2023-02-13,Ontime
303641,182,2022-07-26,SiCepat,Padang,Nanggalo,Next Day,2,1,2022-07-28,Ontime
236063,187,2023-02-12,POS Indonesia,Denpasar,Denpasar Selatan,Next Day,1,5,2023-02-13,Ontime
468367,115,2022-09-01,JNE,Batam,Bulang,Next Day,1,3,2022-09-02,Ontime
880132,298,2023-04-12,POS Indonesia,Makassar,Manggala,Express,3,3,2023-04-15,Ontime
854320,280,2023-04-06,JNE,Yogyakarta,Gondokusuman,Next Day,1,4,2023-04-07,Ontime
330839,144,2022-08-11,SiCepat,Surabaya,Benowo,Next Day,1,5,2022-08-12,Ontime
771595,214,2022-12-09,J&T Express,Yogyakarta,Jetis,Reguler,2,4,2022-12-11,Ontime
419997,239,2022-11-06,JNE,Makassar,Rappocini,Reguler,1,2,2022-11-07,Ontime
594992,206,2022-08-24,POS Indonesia,Pontianak,Pontianak Tenggara,Next Day,1,2,2022-08-25,Ontime
150655,141,2022-07-16,POS Indonesia,Bandung,Cinambo,Reguler,1,4,2022-07-17,Ontime
753993,263,2023-04-17,J&T Express,Yogyakarta,Mantrijeron,Next Day,4,4,2023-04-21,Ontime
729345,270,2023-03-01,JNE,Surakarta,Kebakkramat,Express,2,4,2023-03-03,Ontime
135995,184,2023-02-25,J&T Express,Makassar,Wajo,Reguler,1,4,2023-02-26,Ontime
971209,118,2023-02-21,POS Indonesia,Batam,Galang,Same Day,1,5,2023-02-22,Ontime
116547,117,2023-01-05,SiCepat,Batam,Sagulung,Next Day,5,5,2023-01-10,Ontime
295687,122,2023-05-17,JNE,Bekasi,Bekasi Utara,Reguler,2,1,2023-05-19,Ontime
896047,162,2022-12-03,J&T Express,Bogor,Citeureup,Reguler,4,4,2022-12-07,Ontime
784635,268,2022-11-30,Ninja Xpress,Makassar,Ujung Pandang,Same Day,4,5,2022-12-04,Ontime
723902,252,2023-05-05,JNE,Semarang,Semarang Barat,Reguler,1,4,2023-05-06,Ontime
834372,251,2022-12-23,JNE,Bekasi,Bekasi Barat,Reguler,2,4,2022-12-25,Ontime
576583,193,2022-09-19,Ninja Xpress,Surabaya,Bulak,Express,2,3,2022-09-21,Ontime
460409,135,2023-05-21,SiCepat,Depok,Cinere,Express,1,4,2023-05-22,Ontime
37911,154,2023-01-02,JNE,Palembang,Sukarami,Next Day,2,3,2023-01-04,Ontime
266911,194,2023-04-28,POS Indonesia,Medan,Medan Johor,Next Day,3,5,2023-05-01,Ontime
56062,152,2022-08-19,POS Indonesia,Bekasi,Jatiwaringin,Same Day,4,5,2022-08-23,Ontime
531051,150,2022-10-03,JNE,Surakarta,Karangpandan,Next Day,5,4,2022-10-08,Ontime
772124,131,2022-12-06,POS Indonesia,Bekasi,Pondok Melati,Same Day,5,5,2022-12-11,Ontime
545646,262,2022-11-24,POS Indonesia,Denpasar,Kedonganan,Next Day,3,4,2022-11-27,Ontime
685265,131,2022-07-11,POS Indonesia,Jakarta,Ciracas,Reguler,5,4,2022-07-16,Ontime
152878,120,2022-08-24,Ninja Xpress,Bogor,Babakan Madang,Reguler,2,1,2022-08-26,Ontime
555346,289,2023-04-19,JNE,Batam,Batam Kota,Express,1,2,2023-04-20,Ontime
606538,299,2023-04-22,J&T Express,Batam,Sagulung,Same Day,2,4,2023-04-24,Ontime
526709,202,2023-04-25,POS Indonesia,Bandung,Cinambo,Express,3,1,2023-04-28,Ontime
